id,value,type,img
prompt_1e63be1c-24c7-431a-8b6f-92af72144bb1,"You don’t know me, but this felt like the right number to message.",prompt,
prompt_4d8be5f7-f34e-4e09-9f91-0240e589c6df,"I'm having a moment and need guidance. Thoughts?",prompt,
prompt_7cb41f1c-7b93-4c7f-8fbf-e2b17333e998,"Long story short… what should I do next?",prompt,
prompt_0ec4fb32-7b2c-4dbf-8e29-53895ac6e1d9,"Serious question: does this seem normal to you?",prompt,
prompt_266f7003-97c3-48ad-9830-f5222101c7b1,"Someone gave me your number and said you’d know what to say.",prompt,

prompt_08a4c46d-6f5e-4e97-9d0d-5745d76dbaf2,"I shouldn't be texting this but… here we are.",prompt,
prompt_3d04f1ea-bfae-4b1b-8b30-fb6e4cbe8dc8,"Rate the situation:",prompt,"mysterious_smudge.jpg"
prompt_ae81e51e-a2c1-4ee2-a36c-85d15964009a,"Can you help me interpret this?",prompt,"weird_stain.png"
prompt_1ab50a02-36c5-4b03-a77a-b9cd68e99665,"This isn’t what I expected to find today.",prompt,"strange_object.jpg"
prompt_6b9e09e1-4678-4fd1-8cb4-8e038158adf2,"Be honest… should I be worried about this?",prompt,"shadow_in_hallway.jpg"

prompt_aa07604f-bf7c-4a0d-9cb7-0ea00b8f76b8,"Someone told me you give ‘unfiltered advice.’ True?",prompt,
prompt_81030fe1-6273-4f8e-aafa-f8bb7fa3b365,"I need a reaction. Any reaction.",prompt,
prompt_657f35c2-e812-44d1-aae5-07c63df981fc,"This might be a mistake, but what do you think?",prompt,
prompt_98b80c81-97c0-4bc2-9de5-d881fcc00fc1,"I was about to send this to my therapist but accidentally sent it here instead.",prompt,
prompt_72a91bcc-381e-4e20-9af6-95342eb2d06e,"I don't know how to feel about this.",prompt,

prompt_df8c6f3c-4ff6-4c5c-a434-76d9c9c89f7a,"Thoughts? Opinions? Emotional damage?",prompt,
prompt_bcf2375d-dd2d-40a3-8f35-7564768c2210,"Quick question: what would ANY sane person reply to this?",prompt,
prompt_370efc3e-d355-4f4e-8b8e-3e42e68312a8,"I feel like this requires a response. Your turn.",prompt,
prompt_f5d1f4c3-9114-4b3f-97bb-12e979ba44fc,"I'm too embarrassed to show anyone else this.",prompt,
prompt_c1d0e479-4ef0-4162-bfc2-38a705412f53,"Can you explain this energy I'm giving off right now?",prompt,"unhinged_selfie.png"

prompt_7dd49fb7-ad02-4bfc-924c-bca4352b4f77,"I panicked and texted the first number I saw. Solve this:",prompt,"suspicious_note.jpg"
prompt_fcb865a0-1c65-4bf1-b0a8-5c83cb1fbe49,"Why does this feel illegal?",prompt,"cryptic_postit.png"
prompt_0a9ec7c3-738d-4708-a3ff-11bdf65e8587,"This was left on my doorstep. Interpret it:",prompt,"tiny_mysterious_box.jpg"
prompt_2bb79ee7-cacc-47ff-a33e-9f050c388306,"I'm not emotionally strong enough to process this alone.",prompt,
prompt_818c1688-0b02-48f2-a3f7-a3170a4ae353,"Someone said you'd have a funny response to this.",prompt,

prompt_52475dbd-cfc6-4a09-9bb9-2f512db84504,"I need an opinion from someone unbiased… ish.",prompt,
prompt_152b4034-cf35-442d-8d4b-f8c0b4a2e9e6,"You seem like the type of person who'd understand.",prompt,
prompt_0b847291-1346-42f0-b48e-68116ecf40a8,"This message has no context. Make some.",prompt,
prompt_d4a85356-a746-4bdb-a94c-474a59c0d33f,"On a scale from normal to deeply concerning… where does this land?",prompt,
prompt_6df6c344-d8eb-463b-a096-0445292899bb,"Tell me how I'm supposed to react to this.",prompt,

prompt_4bfeb813-a45e-43bb-a8be-f94925c972e7,"I found this in my pocket and I'm scared you’ll understand it.",prompt,"weird_ticket.png"
prompt_7fd6eac8-bd6a-4eac-b32b-97a0e11da313,"Honest answer only: what would YOU reply?",prompt,
prompt_b5d46a44-73df-4ae1-8203-f3b699f61204,"Imagine this text came from your worst enemy. Now reply accordingly.",prompt,
prompt_62df0c29-43b7-4ac3-9b51-165cd42d15ca,"What's the official response to chaos?",prompt,
prompt_7434ec7b-ef93-4eb3-a9a7-88f995855eb9,"I need a comeback that won’t get me arrested.",prompt,

prompt_6e9e849a-1948-4d7a-a4fa-90f61ee19baa,"I don't know why, but this feels like your problem now.",prompt,
prompt_f5e0245e-b8c6-4a93-9a03-54cd0999f1ed,"This feels like a moment for wisdom. Or stupidity. Dealer’s choice.",prompt,
prompt_4b70de6e-ce8e-4fea-8f3b-e1434eda71c3,"Here’s the situation:",prompt,"blurry_creature.jpg"
prompt_5f35bd59-ef3e-4209-99f0-4b4f839e3523,"Whatever your first instinct is: text that.",prompt,
prompt_e5fa2a0e-75d7-48dc-9f1f-7b528ff06932,"Someone told me this number gives iconic reactions.",prompt,

prompt_acf5c8c5-2ba7-4dc9-b929-906cdbc02dcd,"Explain the vibe I'm giving off from this:",prompt,"accidental_selfie.png"
prompt_81ebf6b3-8ea4-4d9d-91fe-7f4d66993caa,"If this isn't your vibe, pretend it is.",prompt,
prompt_f0b72fb9-019f-421e-a12c-590f31d1d5cd,"My brain refused to handle this alone.",prompt,
prompt_61a2cee4-d047-400e-9e63-b35b4b62d673,"Someone dared me to text a stranger. Now it's your problem.",prompt,
prompt_4e70a5ab-1b0b-4540-887b-b808af188091,"This seems like something you'd know how to respond to.",prompt,

prompt_1b002ef0-1b03-46b9-939b-b61f5415b0ff,"What would YOU reply if you got this from a random number?",prompt,
prompt_31731592-6f91-4ade-a935-76e40a94684e,"I feel like the universe wants your input on this.",prompt,
prompt_e10dca96-6eae-4fd7-a930-a42ca13e9d51,"Give me a reply that changes absolutely nothing but feels powerful.",prompt,
prompt_2fcbc64b-7b05-4af1-aa04-4ba2ea903e36,"Not sure how to explain this one. You'll figure it out.",prompt,
prompt_6881c8f2-84c7-42f7-99ee-07af6dc70252,"I just need someone to respond so I don't feel insane.",prompt,

prompt_1e5c65ac-d7bc-4ac5-a82d-196e7e5ef679,"Here’s a mystery for you:",prompt,"abandoned_giftbox.jpg"
prompt_4f8b94e4-cd2b-42a2-863f-86eda2778b55,"What’s the correct emotional response to this?",prompt,
prompt_9f3da0ec-14fb-4aec-8a46-76ad35851988,"I’m not sure what this means but someone said you'd get it.",prompt,
prompt_3ce0efd3-7a92-40a6-b60b-00e5e6f779cc,"Pick any vibe and commit to it. Respond accordingly.",prompt,
prompt_200349d4-03f7-4ac5-8d0a-8973f8fb6fd2,"Here’s an image. Make sense of it:",prompt,"confusing_diagram.png"

prompt_7a4e4d57-6b82-40c2-9c3f-3efc55cc153d,"Someone told me you’re the only one who can explain this Christmas situation.",prompt,
prompt_692e2f90-8f88-4c60-9b06-671449e9e02d,"Is this a normal festive thing or should I call someone?",prompt,
prompt_4cb8ce42-2ad6-4f44-9c39-e167d31aff20,"Be honest… does this scream ‘holiday magic’ or ‘holiday crime’?",prompt,
prompt_dd7d3c2b-f73e-4b33-b987-0f393bcde597,"I found this under my tree and I don’t think it’s meant for me.",prompt,"mystery_present.jpg"
prompt_90bd3c45-a5c9-49d5-9ab2-4eca9839134f,"If you got this message on Christmas Eve, what would you reply?",prompt,

prompt_3a5f1f23-c0d6-4cdd-99d8-c4644e31068f,"Santa said someone from this number was ‘on thin ice.’ Thoughts?",prompt,
